43,8,7 ,0 ,  175 ,  77
46,8,1 ,100 ,  103 ,  101
47,8,7 ,0 ,  175 ,  77
50,8,17 ,100 ,  103 ,  101
51,8,1 ,0 ,  175 ,  77
55,8,3 ,166 ,  83 ,  34
57,8,1 ,160 ,  161 ,  159
58,8,3 ,166 ,  83 ,  34
60,8,1 ,100 ,  103 ,  101
61,8,1 ,166 ,  83 ,  34
62,8,273 ,100 ,  103 ,  101
63,8,17 ,0 ,  74 ,  45
0,9,17 ,0 ,  74 ,  45
1,9,1 ,100 ,  103 ,  101
2,9,273 ,0 ,  175 ,  77
3,9,15 ,166 ,  83 ,  34
7,9,1 ,160 ,  161 ,  159
8,9,17 ,166 ,  83 ,  34
9,9,3 ,100 ,  103 ,  101
11,9,1 ,247 ,  209 ,  18
12,9,7 ,100 ,  103 ,  101
15,9,273 ,166 ,  83 ,  34
16,9,1 ,100 ,  103 ,  101
17,9,1 ,0 ,  74 ,  45
18,9,17 ,0 ,  153 ,  212
19,9,1 ,0 ,  108 ,  183
21,9,3 ,0 ,  74 ,  45
27,9,1 ,21 ,  21 ,  21
28,9,1 ,160 ,  161 ,  159
29,9,17 ,100 ,  103 ,  101
30,9,15 ,160 ,  161 ,  159
34,9,3 ,244 ,  244 ,  244
36,9,1 ,0 ,  108 ,  183
37,9,1 ,244 ,  244 ,  244
38,9,1 ,160 ,  161 ,  159
39,9,1 ,0 ,  175 ,  77
40,9,1 ,100 ,  103 ,  101
43,9,7 ,100 ,  103 ,  101
46,9,15 ,0 ,  175 ,  77
51,9,1 ,100 ,  103 ,  101
52,9,1 ,166 ,  83 ,  34
53,9,3 ,0 ,  175 ,  77
55,9,1 ,166 ,  83 ,  34
56,9,1 ,0 ,  175 ,  77
57,9,1 ,166 ,  83 ,  34
58,9,1 ,100 ,  103 ,  101
59,9,3 ,166 ,  83 ,  34
61,9,1 ,100 ,  103 ,  101
1,10,1 ,0 ,  175 ,  77
3,10,7 ,166 ,  83 ,  34
6,10,1 ,100 ,  103 ,  101
7,10,1 ,0 ,  175 ,  77
9,10,7 ,166 ,  83 ,  34
12,10,1 ,100 ,  103 ,  101
13,10,1 ,166 ,  83 ,  34
14,10,1 ,100 ,  103 ,  101
16,10,1 ,0 ,  74 ,  45
17,10,1 ,0 ,  153 ,  212
19,10,17 ,0 ,  153 ,  212
20,10,1 ,0 ,  57 ,  94
21,10,273 ,0 ,  74 ,  45
22,10,255 ,21 ,  21 ,  21
26,10,1 ,21 ,  21 ,  21
27,10,1 ,244 ,  244 ,  244
28,10,1 ,0 ,  108 ,  183
30,10,1 ,21 ,  21 ,  21
31,10,1 ,100 ,  103 ,  101
32,10,1 ,252 ,  195 ,  158
33,10,7 ,244 ,  244 ,  244
36,10,3 ,160 ,  161 ,  159
38,10,3 ,221 ,  196 ,  142
40,10,1 ,0 ,  74 ,  45
41,10,1 ,100 ,  103 ,  101
42,10,1 ,0 ,  175 ,  77
43,10,1 ,100 ,  103 ,  101
44,10,1 ,166 ,  83 ,  34
45,10,7 ,100 ,  103 ,  101
48,10,1 ,166 ,  83 ,  34
49,10,15 ,0 ,  175 ,  77
53,10,1 ,100 ,  103 ,  101
54,10,15 ,166 ,  83 ,  34
58,10,1 ,100 ,  103 ,  101
59,10,1 ,166 ,  83 ,  34
60,10,1 ,100 ,  103 ,  101
61,10,17 ,166 ,  83 ,  34
63,10,1 ,21 ,  21 ,  21
0,11,1 ,0 ,  175 ,  77
1,11,1 ,166 ,  83 ,  34
3,11,1 ,0 ,  175 ,  77
4,11,1 ,166 ,  83 ,  34
5,11,1 ,100 ,  103 ,  101
6,11,1 ,166 ,  83 ,  34
7,11,17 ,100 ,  103 ,  101
8,11,7 ,166 ,  83 ,  34
11,11,1 ,100 ,  103 ,  101
12,11,1 ,166 ,  83 ,  34
13,11,17 ,100 ,  103 ,  101
14,11,1 ,166 ,  83 ,  34
16,11,1 ,21 ,  21 ,  21
17,11,1 ,0 ,  108 ,  183
18,11,1 ,0 ,  153 ,  212
20,11,1 ,21 ,  21 ,  21
